City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,boguchany,58.3814,97.4531,-15.08,98,40,0.89,RU,1699496265
1,degerfors,59.238,14.4308,3.71,95,100,2.32,SE,1699496265
2,yellowknife,62.456,-114.3525,-7.71,93,75,1.54,CA,1699496267
3,rio negrinho,-26.2544,-49.5183,21.08,85,100,0.32,BR,1699496267
4,olonkinbyen,70.9221,-8.7187,-0.48,74,98,4.25,SJ,1699496268
5,bilibino,68.0546,166.4372,-15.31,94,100,1.09,RU,1699496268
6,kodinar,20.7903,70.7031,25.87,66,0,2.03,IN,1699496269
7,nova sintra,14.8667,-24.7167,22.92,67,92,7.43,CV,1699496269
8,khandyga,62.6667,135.6,-27.4,95,40,0.57,RU,1699496269
9,edinburgh of the seven seas,-37.0676,-12.3116,13.32,73,15,9.49,SH,1699496270
10,papatowai,-46.5619,169.4708,11.57,54,39,5.05,NZ,1699496271
11,invercargill,-46.4,168.35,12.23,64,35,4.02,NZ,1699496272
12,shantobe,52.4581,68.1839,1.85,76,94,2.66,KZ,1699496272
13,parral,26.9333,-105.6667,15.67,83,100,3.79,MX,1699496272
14,pacific grove,36.6177,-121.9166,14.82,74,0,0.89,US,1699496273
15,mejit,10.2753,170.8646,27.94,82,61,9.79,MH,1699496273
16,west island,-12.1568,96.8225,27.99,78,100,6.17,CC,1699496273
17,hermanus,-34.4187,19.2345,13.32,77,0,3.4,ZA,1699496212
18,albany,42.6001,-73.9662,2.52,65,100,0.71,US,1699496018
19,adamstown,-25.066,-130.1015,22.59,86,100,8.55,PN,1699496274
20,chamical,-30.36,-66.314,23.33,19,0,3.94,AR,1699496275
21,port-gentil,-0.7193,8.7815,26.44,85,100,5.76,GA,1699496275
22,kodiak,57.79,-152.4072,3.73,87,75,6.17,US,1699496215
23,whitehorse,60.7161,-135.0538,4.43,70,100,9.77,CA,1699496276
24,arias,-33.6441,-62.4027,15.64,39,0,1.87,AR,1699496276
25,ancud,-41.8697,-73.8203,8.25,87,83,2.6,CL,1699496277
26,port-aux-francais,-49.35,70.2167,5.76,94,100,16.4,TF,1699496277
27,alice springs,-23.7,133.8833,29.75,28,99,4.12,AU,1699496278
28,iskateley,67.6803,53.1512,0.57,100,100,4.02,RU,1699496278
29,ushuaia,-54.8,-68.3,0.24,96,63,2.24,AR,1699496278
30,jamestown,42.097,-79.2353,9.73,49,100,7.72,US,1699496158
31,palu,-0.8917,119.8707,30.15,69,91,0.51,ID,1699496280
32,puerto natales,-51.7236,-72.4875,2.34,92,1,2.91,CL,1699496120
33,villa yapacani,-17.4,-63.8333,32.72,38,100,2.18,BO,1699496281
34,holualoa,19.6228,-155.9522,27.1,78,40,3.6,US,1699496281
35,port mathurin,-19.6833,63.4167,24.95,72,4,7.99,MU,1699496282
36,zaozersk,69.4005,32.4476,-9.62,89,44,1.21,RU,1699496282
37,tiksi,71.6872,128.8694,-22.41,98,33,3.69,RU,1699496283
38,kijang,35.2442,129.2139,18.85,65,87,3.8,KR,1699496153
39,grytviken,-54.2811,-36.5092,3.51,77,100,1.08,GS,1699496284
40,waitangi,-43.9535,-176.5597,12.68,80,40,2.68,NZ,1699496285
41,abepura,-2.6333,140.5833,32.45,52,40,7.72,ID,1699496286
42,thompson,55.7435,-97.8558,-1.91,74,75,3.09,CA,1699496286
43,mil'kovo,55.6078,37.7956,5.59,97,99,1.22,RU,1699496287
44,bethel,41.3712,-73.414,5.42,57,100,0.45,US,1699496287
45,valparaiso,-33.0393,-71.6273,16.8,63,0,2.06,CL,1699496288
46,kelibia,36.8476,11.0939,16.14,67,20,1.03,TN,1699496289
47,ilulissat,69.2167,-51.1,-2.99,93,100,1.54,GL,1699496289
48,porto novo,6.4965,2.6036,25.52,89,27,2.43,BJ,1699496290
49,port alfred,-33.5906,26.891,13.43,92,28,4.52,ZA,1699496290
50,carnarvon,-24.8667,113.6333,23.31,62,1,8.16,AU,1699496292
51,cookeville,36.1628,-85.5016,21.65,67,0,3.09,US,1699496237
52,campos dos goytacazes,-21.75,-41.3,19.66,84,0,2.75,BR,1699496150
53,atafu village,-8.5421,-172.5159,29.08,71,65,5.5,TK,1699496295
54,kabanjahe,3.1001,98.4908,21.23,84,100,0.77,ID,1699496225
55,ivdel',60.6911,60.4206,-1.56,98,100,1.34,RU,1699496295
56,guerrero negro,27.9769,-114.0611,19.6,64,82,6.1,MX,1699496296
57,hawaiian paradise park,19.5933,-154.9731,26.73,80,100,4.12,US,1699496244
58,borogontsy,62.6683,131.1683,-24.39,95,94,0.1,RU,1699496298
59,talnakh,69.4865,88.3972,-5.44,94,100,8.43,RU,1699496298
60,hithadhoo,-0.6,73.0833,27.24,82,73,5.6,MV,1699496302
61,qaqortoq,60.7167,-46.0333,0.45,99,100,2.16,GL,1699496302
62,yanam,16.7333,82.2167,26.71,75,100,1.46,IN,1699496303
63,ribeira grande,38.5167,-28.7,19.87,97,100,5.81,PT,1699496304
64,palmer,42.1584,-72.3287,3.23,61,75,0.0,US,1699496306
65,nikolayevsk-on-amure,53.1406,140.73,-4.33,91,100,1.77,RU,1699496307
66,anadyr,64.75,177.4833,-3.72,73,100,8.0,RU,1699496253
67,reggane,26.7158,0.1714,26.64,26,72,8.75,DZ,1699496309
68,touros,-5.1989,-35.4608,25.82,74,5,7.6,BR,1699496311
69,blackmans bay,-43.0167,147.3167,21.4,74,42,1.79,AU,1699496311
70,kenai,60.5544,-151.2583,1.75,98,100,1.54,US,1699496312
71,ambon,-3.6954,128.1814,29.08,79,40,1.03,ID,1699496313
72,popondetta,-8.7537,148.2534,32.21,54,77,3.15,PG,1699496313
73,lamu,-2.2717,40.902,24.12,90,100,2.18,KE,1699496314
74,margaret river,-33.95,115.0667,15.12,66,100,7.01,AU,1699496314
75,cheremukhovo,60.3484,59.9851,-2.24,98,100,0.89,RU,1699496316
76,tofol,5.3248,163.0078,28.2,81,100,6.52,FM,1699496317
77,kristiansund,63.1115,7.732,4.36,60,75,4.12,NO,1699496319
78,nieuw amsterdam,5.8833,-55.0833,26.68,88,45,4.91,SR,1699496319
79,datong,40.0936,113.2914,-3.53,16,0,5.46,CN,1699496320
80,walvis bay,-22.9575,14.5053,13.38,91,0,2.29,NA,1699496321
81,cortina d'ampezzo,46.5384,12.1377,5.31,97,49,0.75,IT,1699496321
82,uturoa,-16.7333,-151.4333,25.9,79,30,9.29,PF,1699496322
